date,region7,stress_index
2024-06-01,Doğu Anadolu,-0.08042112722262187
2024-07-01,Doğu Anadolu,-0.060392711435227474
2024-08-01,Doğu Anadolu,-0.0014708560284092131
2024-09-01,Doğu Anadolu,0.009464304888737613
2024-10-01,Doğu Anadolu,0.058311882506519384
2024-11-01,Doğu Anadolu,0.10288963233496155
2024-12-01,Doğu Anadolu,0.013653199833161713
2025-01-01,Doğu Anadolu,-0.048109964983915836
2025-02-01,Doğu Anadolu,-0.19504878738251782
2025-03-01,Doğu Anadolu,-0.013558606856288033
2025-04-01,Doğu Anadolu,-0.13203179938417076
2025-05-01,Doğu Anadolu,-0.12624478507736275
2025-06-01,Doğu Anadolu,-0.1704550707983977
2025-07-01,Doğu Anadolu,-0.24780680631821975
2025-08-01,Doğu Anadolu,-0.23501567100399506
2025-09-01,Doğu Anadolu,-0.04849605364611646
2025-10-01,Doğu Anadolu,-0.2767605666234767
2025-11-01,Doğu Anadolu,0.8134234391356104
2018-01-01,Ege,-0.08508233593845713
2018-02-01,Ege,-0.06599780528485276
2018-03-01,Ege,0.13332535759660277
2018-04-01,Ege,-0.614795784687932
2018-05-01,Ege,-0.5255499169383151
2018-06-01,Ege,-0.5690210366058527
2018-07-01,Ege,-0.6184539369473285
2018-08-01,Ege,-0.4558537338484484
2018-09-01,Ege,-0.5660206473720268
2018-10-01,Ege,-0.3992651801249151
2018-11-01,Ege,-0.5596352186497203
2018-12-01,Ege,-0.3514344715691493
2019-01-01,Ege,-0.24402383041550685
2019-02-01,Ege,-0.3779336786760501
2019-03-01,Ege,-0.22272032948401158
2019-04-01,Ege,-0.5274184799206427
2019-05-01,Ege,-0.2345715526082805
2019-06-01,Ege,-0.5416675279510909
2019-07-01,Ege,-0.473583858734432
2019-08-01,Ege,-0.4983002027976939
2019-09-01,Ege,-0.30314590567456456
2019-10-01,Ege,-0.34532121639943153
2019-11-01,Ege,-0.22499336234314318
2019-12-01,Ege,-0.12088782918446853
2020-01-01,Ege,0.09711321571356855
2020-02-01,Ege,0.010290133439839916
2020-03-01,Ege,0.042704935601495256
2020-04-01,Ege,0.7148268593728865
2020-05-01,Ege,0.5215951788931338
2020-06-01,Ege,-0.08110698670784673
2020-07-01,Ege,-0.3415803909661923
2020-08-01,Ege,-0.33121779675722285
2020-09-01,Ege,-0.17433287284537527
2020-10-01,Ege,-0.14535162266636253
2020-11-01,Ege,-0.0486104109171971
2020-12-01,Ege,0.2715977037220319
2021-01-01,Ege,0.6690137258114914
2021-02-01,Ege,0.5959428584682676
2021-03-01,Ege,0.20611479252566384
2021-04-01,Ege,0.5701935543558069
2021-05-01,Ege,0.14280135001843708
2021-06-01,Ege,0.5729169578251432
2021-07-01,Ege,-0.17130190432570835
2021-08-01,Ege,-0.07911621580230285
2021-09-01,Ege,-0.05952972397257812
2021-10-01,Ege,-0.23975516801191196
2021-11-01,Ege,-0.045432694503504706
2021-12-01,Ege,-0.11199440136147913
2022-01-01,Ege,0.29481454768564375
2022-02-01,Ege,0.5373597373284082
2022-03-01,Ege,0.5937307353723213
2022-04-01,Ege,0.8219315625358867
2022-05-01,Ege,0.7067627497429682
2022-06-01,Ege,0.588715382117593
2022-07-01,Ege,0.3461949726614167
2022-08-01,Ege,0.5017677095935646
2022-09-01,Ege,0.1795438464224455
2022-10-01,Ege,0.6269540268202493
2022-11-01,Ege,0.681926094861433
2022-12-01,Ege,0.7268820718218574
2023-01-01,Ege,0.6223860034011633
2023-02-01,Ege,0.6151457252762372
2023-03-01,Ege,0.9061209505924538
2023-04-01,Ege,0.6488227562559116
2023-05-01,Ege,0.3153839974798945
2023-06-01,Ege,0.31102896371387767
2023-07-01,Ege,-0.14452872326022512
2023-08-01,Ege,0.06950372548616256
2023-09-01,Ege,0.25583902797515634
2023-10-01,Ege,0.20950747292302485
2023-11-01,Ege,0.4667707741783481
2023-12-01,Ege,0.8497314814041849
2024-01-01,Ege,0.3762260148660301
2024-02-01,Ege,0.4470259800406221
2024-03-01,Ege,0.11909729669554132
2024-04-01,Ege,0.09053824928957685
2024-05-01,Ege,-0.232196129807424
2024-06-01,Ege,-0.40190615493864146
2024-07-01,Ege,-0.3781437625431897
2024-08-01,Ege,-0.2867928265691817
2024-09-01,Ege,-0.07675577230745516
2024-10-01,Ege,-0.015283386186289355
2024-11-01,Ege,-0.17320676470318697
2024-12-01,Ege,0.02173893312911947
2025-01-01,Ege,0.14868448278972968
2025-02-01,Ege,-0.22411153336830808
2025-03-01,Ege,-0.13389226087023037
2025-04-01,Ege,-0.1664103902614685
2025-05-01,Ege,-0.3633674689535441
2025-06-01,Ege,-0.4694799617426913
2025-07-01,Ege,-0.8670036500192759
2025-08-01,Ege,-0.9569237564363282
2025-09-01,Ege,-0.537958230191996
2025-10-01,Ege,-0.7475190104926994
2025-11-01,Ege,-0.6980840821590595
