"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2023","27.0307","26.9538","27.3264","26.7817","","0.62%"
"08/06/2023","26.8632","26.9748","27.4594","26.5399","","-0.27%"
"07/30/2023","26.9371","26.8701","27.5805","26.7973","","0.14%"
"07/23/2023","26.9003","26.9204","27.2062","26.7040","","-0.27%"
"07/16/2023","26.9729","26.1702","27.3188","25.9249","","3.36%"
"07/09/2023","26.0953","26.0676","26.3486","25.8712","","0.15%"
"07/02/2023","26.0552","26.0510","26.2878","25.6138","","0.03%"
"06/25/2023","26.0461","25.2766","26.2505","25.0712","","3.22%"
"06/18/2023","25.2330","23.5800","26.0300","23.3659","","6.85%"
"06/11/2023","23.6154","23.3994","23.8236","23.3181","","1.06%"
"06/04/2023","23.3673","21.0019","23.6189","20.9089","","11.49%"
"05/28/2023","20.9589","19.9977","21.0292","19.8875","","5.16%"
"05/21/2023","19.9309","19.8235","20.4073","19.6707","","0.73%"
"05/14/2023","19.7860","19.6140","19.9171","19.4798","","1.16%"
"05/07/2023","19.5600","19.5000","19.7355","19.3624","","0.22%"
"04/30/2023","19.5172","19.4425","19.6155","19.3450","","0.36%"
"04/23/2023","19.4478","19.4042","19.5609","19.2935","","0.38%"
"04/16/2023","19.3741","19.3653","19.5253","19.2652","","0.15%"
"04/09/2023","19.3446","19.2485","19.4725","19.1545","","0.60%"
"04/02/2023","19.2283","19.1863","19.5240","19.0898","","0.37%"
"03/26/2023","19.1582","19.0589","19.2887","18.9700","","0.59%"
"03/19/2023","19.0457","19.0111","19.2557","18.8022","","0.19%"
"03/12/2023","19.0095","18.9548","19.3368","18.5930","","0.29%"
"03/05/2023","18.9551","18.8244","19.0727","18.7580","","0.72%"
"02/26/2023","18.8195","18.8620","19.0343","18.7062","","-0.25%"
"02/19/2023","18.8676","18.8590","18.9752","18.7391","","0.23%"
"02/12/2023","18.8247","18.8155","19.0370","18.7157","","0.07%"
"02/05/2023","18.8107","18.8207","18.9254","18.7078","","-0.04%"
"01/29/2023","18.8186","18.8110","18.9217","18.6785","","0.06%"
"01/22/2023","18.8079","18.7611","18.9038","18.5960","","0.27%"
"01/15/2023","18.7579","18.8027","18.9004","18.6619","","-0.12%"
"01/08/2023","18.7806","18.7349","18.8838","18.5917","","0.15%"
"01/01/2023","18.7524","18.6985","18.8682","18.5730","","0.34%"
"12/25/2022","18.6883","18.6622","18.8374","18.5413","","0.13%"
"12/18/2022","18.6637","18.6380","18.7838","18.5525","","0.16%"
"12/11/2022","18.6343","18.6479","18.7658","18.4932","","-0.09%"
"12/04/2022","18.6503","18.6344","18.7593","18.5236","","0.11%"
"11/27/2022","18.6303","18.5930","18.7514","18.4940","","0.24%"
"11/20/2022","18.5851","18.6223","18.7232","18.4883","","-0.02%"
"11/13/2022","18.5889","18.5631","18.7115","18.4328","","0.10%"
"11/06/2022","18.5705","18.5681","18.7185","18.3528","","0.03%"
"10/30/2022","18.5657","18.5940","18.7257","18.4598","","-0.08%"
"10/23/2022","18.5813","18.5960","18.7120","18.4335","","-0.04%"
"10/16/2022","18.5884","18.5760","18.6933","18.4517","","0.16%"
"10/09/2022","18.5585","18.5823","18.7070","18.4487","","-0.02%"
"10/02/2022","18.5620","18.4895","18.6941","18.3515","","0.34%"
"09/25/2022","18.5000","18.4040","18.6262","18.3223","","0.47%"
"09/18/2022","18.4131","18.2565","18.4900","18.1649","","0.87%"
"09/11/2022","18.2543","18.2233","18.3587","18.1268","","0.11%"
"09/04/2022","18.2334","18.1971","18.3345","18.1050","","0.31%"
"08/28/2022","18.1777","18.1647","18.3442","18.0800","","0.19%"
"08/21/2022","18.1433","18.0807","18.3405","17.9849","","0.32%"
"08/14/2022","18.0850","17.9324","18.2017","17.8083","","0.85%"
"08/07/2022","17.9324","17.9116","18.0604","17.6443","","0.12%"
"07/31/2022","17.9101","17.9084","18.0674","17.7670","","-0.01%"
"07/24/2022","17.9114","17.7394","18.0470","17.5436","","1.10%"
"07/17/2022","17.7173","17.3521","17.8305","17.2558","","1.85%"
"07/10/2022","17.3950","17.2738","17.5660","17.2043","","0.73%"
"07/03/2022","17.2683","16.7634","17.3968","16.6516","","3.02%"
"06/26/2022","16.7613","16.8648","16.9228","16.0021","","-0.74%"
"06/19/2022","16.8860","17.3165","17.4713","16.4858","","-2.54%"
"06/12/2022","17.3255","17.1488","17.4037","16.9430","","1.49%"
"06/05/2022","17.0718","16.4464","17.3320","16.3468","","4.02%"
"05/29/2022","16.4126","16.2179","16.5907","16.1632","","1.43%"
"05/22/2022","16.1807","15.9084","16.5295","15.6410","","1.80%"
"05/15/2022","15.8951","15.4793","16.0490","15.3958","","2.70%"
